section_number,section_name,distance_miles,walk_name,walk_website
1,Thamesmead to Lesnes Abbey,2.75,Green Chain Walk,https://www.innerlondonramblers.org.uk/ideasforwalks/green-chain-walk-guides.html
2,Erith to Bostall Heath,3.5,Green Chain Walk,https://www.innerlondonramblers.org.uk/ideasforwalks/green-chain-walk-guides.html
3,Bostall Heath to Oxleas Meadow,3.8,Green Chain Walk,https://www.innerlondonramblers.org.uk/ideasforwalks/green-chain-walk-guides.html
4,Bostall Heath to Charlton Park,3.6,Green Chain Walk,https://www.innerlondonramblers.org.uk/ideasforwalks/green-chain-walk-guides.html
4a,Plumstead Common to Oxleas Meadow,1.8,Green Chain Walk,https://www.innerlondonramblers.org.uk/ideasforwalks/green-chain-walk-guides.html
5,Thames Barrier to Oxleas Meadow,4,Green Chain Walk,https://www.innerlondonramblers.org.uk/ideasforwalks/green-chain-walk-guides.html
6,Oxleas Wood to Mottingham Lane,3.9,Green Chain Walk,https://www.innerlondonramblers.org.uk/ideasforwalks/green-chain-walk-guides.html
7,Shepherdleas Wood to Middle Park,4.3,Green Chain Walk,https://www.innerlondonramblers.org.uk/ideasforwalks/green-chain-walk-guides.html
8,Mottingham Lane to Stumps Hill (Beckenham Place Park),4.8,Green Chain Walk,https://www.innerlondonramblers.org.uk/ideasforwalks/green-chain-walk-guides.html
8a,Marvels Lane to Elmstead Wood,0.9,Green Chain Walk,https://www.innerlondonramblers.org.uk/ideasforwalks/green-chain-walk-guides.html
9,Mottingham Lane to Beckenham Place Park,6.2,Green Chain Walk,https://www.innerlondonramblers.org.uk/ideasforwalks/green-chain-walk-guides.html
9a,Elmstead Wood to Chislehurst,1.7,Green Chain Walk,https://www.innerlondonramblers.org.uk/ideasforwalks/green-chain-walk-guides.html
10,Stumps Hill (Beckenham Place Park) to Crystal Palace,3.7,Green Chain Walk,https://www.innerlondonramblers.org.uk/ideasforwalks/green-chain-walk-guides.html
11,Nunhead to Crystal Palace,5.9,Green Chain Walk,https://www.innerlondonramblers.org.uk/ideasforwalks/green-chain-walk-guides.html
11a,Dulwich Park to Sydenham Hill Wood,1.3,Green Chain Walk,https://www.innerlondonramblers.org.uk/ideasforwalks/green-chain-walk-guides.html
